name,year,tothomeless_count,Homeownership Rate (Percent),Housing Stability (Percent),Overcrowding (Percent),Rent Burden (Percent),Rent Price
Irwindale,2020,8,71,96,12,50,1383
Pico-Union,2020,369,10,92,37,61,1039
Glendora,2020,144,69,88,4,46,1780
Industry,2020,135,70,93,13,53,1686
Sylmar,2020,371,64,93,12,59,1635
Torrance,2020,333,56,88,6,47,1768
Alhambra,2020,46,40,92,11,53,1438
Pico Rivera,2020,173,68,95,14,50,1423
Rolling Hills Estates,2020,0,88,89,2,40,2385
Signal Hill,2020,,52,90,5,58,1476
Hawthorne,2020,188,28,88,18,56,1296
North Hills,2020,185,46,90,22,64,1471
Hacienda Heights,2020,210,74,93,6,51,1874
Harbor Gateway,2020,274,39,92,19,60,1287
Lopez/Kagel Canyons,2020,4,76,95,3,69,1247
Citrus,2020,25,57,92,15,52,1555
Lake Balboa,2020,29,61,91,7,60,1798
Granada Hills,2020,91,72,93,5,57,1839
Palms,2020,171,13,85,7,46,1768
Santa Monica,2020,781,29,85,3,42,1810
Pacoima,2020,470,55,94,24,64,1424
Toluca Lake,2020,47,37,91,4,50,1830
Veterans Administration,2020,463,20,51,3,49,1811
Valley Village,2020,62,30,84,4,58,1594
Brentwood,2020,90,50,83,1,45,2247
Pomona,2020,716,53,89,15,59,1379
South Whittier,2020,116,65,93,16,51,1544
Pasadena,2020,,43,87,6,49,1740
Winnetka,2020,92,51,90,17,61,1477
Palmdale,2020,343,65,90,9,58,1343
Porter Ranch,2020,27,88,92,1,48,3246
South El Monte,2020,65,41,93,26,57,1301
Tujunga Canyons,2020,73,86,89,2,51,1756
Commerce,2020,510,46,93,17,49,1146
San Fernando,2020,23,54,92,16,58,1365
Sherman Oaks,2020,119,40,84,2,53,1855
Bradbury,2020,0,58,89,1,50,2469
Panorama City,2020,353,33,92,22,66,1327
Northridge,2020,75,50,89,8,60,1684
Culver City,2020,195,52,90,5,48,1836
Lakewood,2020,24,71,92,5,50,1807
Compton,2020,657,54,94,20,61,1243
Vernon,2020,106,32,89,10,27,1059
San Dimas,2020,20,71,88,4,55,1826
Inglewood,2020,540,36,89,12,57,1357
Charter Oak,2020,26,59,86,9,54,1786
Paramount,2020,74,41,92,21,55,1396
San Pedro,2020,560,42,86,7,56,1407
Lincoln Heights,2020,303,26,91,20,59,1140
Boyle Heights,2020,927,25,93,28,59,1115
Historic South-Central,2020,1001,19,91,35,62,1130
Avalon,2020,31,28,87,12,42,1541
Westlake,2020,1849,5,88,36,56,1129
Mission Hills,2020,110,72,93,11,57,1613
Quartz Hill,2020,11,74,93,1,40,1273
Marina del Rey,2020,14,6,70,3,52,3008
Bell,2020,129,30,94,23,58,1197
Long Beach,2020,,40,89,11,53,1357
San Gabriel,2020,10,45,94,10,55,1499
Downey,2020,225,50,91,12,52,1478
Diamond Bar,2020,5,75,89,3,54,2077
La Canada Flintridge,2020,2,87,94,2,52,2318
West Covina,2020,124,65,90,8,52,1636
Redondo Beach,2020,170,52,86,2,40,2072
Vermont Square,2020,633,34,94,19,66,1147
Santa Fe Springs,2020,132,65,94,13,51,1424
Calabasas,2020,2,77,86,2,53,2621
Altadena,2020,12,73,92,5,55,1713
Bell Gardens,2020,82,22,95,29,65,1258
Sun Valley,2020,1285,49,93,17,63,1452
Playa Vista,2020,52,37,80,4,46,2885
Carson,2020,231,73,93,10,47,1556
Hollywood Hills,2020,142,48,86,2,52,1775
Lancaster,2020,2062,52,93,4,51,1178
Leona Valley,2020,1,91,87,1,48,1969
Whittier,2020,209,57,92,8,53,1381
Walnut,2020,0,85,93,2,43,2390
Castaic Canyons,2020,22,85,91,4,54,2129
Silver Lake,2020,177,35,89,6,43,1622
Whittier Narrows,2020,66,65,95,16,56,1347
Glendale,2020,,33,90,6,58,1632
West Whittier-Los Nietos,2020,184,68,95,13,53,1572
Atwater Village,2020,17,39,91,10,51,1712
East Whittier,2020,8,65,91,9,64,1505
El Sereno,2020,229,50,92,16,56,1226
Montecito Heights,2020,75,53,89,13,46,1373
Florence,2020,556,29,91,26,67,1199
Huntington Park,2020,276,27,93,32,60,1083
Cheviot Hills,2020,40,70,93,1,35,2067
Cypress Park,2020,66,35,93,23,53,1157
Desert View Highlands,2020,6,68,92,3,60,1478
Baldwin Park,2020,550,58,95,20,56,1480
Montebello,2020,168,43,92,13,56,1326
Leimert Park,2020,96,46,91,3,60,1331
Santa Clarita,2020,158,67,88,6,58,1894
Elysian Park,2020,82,14,89,15,45,1289
Wilmington,2020,420,39,92,27,60,1156
Jefferson Park,2020,93,29,93,15,60,1214
Downtown,2020,6216,9,67,14,49,1584
Encino,2020,60,58,89,3,58,1855
West Adams,2020,135,36,94,12,59,1196
Hawaiian Gardens,2020,4,48,94,23,62,1446
Agoura Hills,2020,2,76,89,2,47,2676
Baldwin Hills/Crenshaw,2020,58,28,92,9,64,1193
Lake View Terrace,2020,30,65,95,9,64,1374
Adams-Normandie,2020,53,21,90,21,57,1141
El Monte,2020,411,40,94,22,62,1292
Rancho Dominguez,2020,,86,87,9,54,1199
Acton,2020,16,90,92,4,65,1753
Studio City,2020,238,44,85,2,47,1875
La Puente,2020,83,60,94,17,51,1423
North Hollywood,2020,586,22,89,14,60,1473
Rosemead,2020,67,49,94,20,57,1366
San Marino,2020,0,86,93,1,27,2723
East San Gabriel,2020,30,55,92,8,55,1564
South Park,2020,355,29,93,29,68,1151
Burbank,2020,279,42,89,5,53,1685
Woodland Hills,2020,96,59,84,5,52,2350
Angeles Crest,2020,28,86,89,2,45,1703
East Compton,2020,131,53,94,26,62,1210
Chatsworth,2020,182,65,91,5,55,1880
Mayflower Village,2020,7,69,95,8,51,1503
Koreatown,2020,511,7,88,25,59,1292
South Gate,2020,397,43,93,24,59,1167
Elysian Valley,2020,33,46,89,12,48,1567
Claremont,2020,23,66,90,1,52,1557
Avocado Heights,2020,35,74,95,14,50,1495
South San Gabriel,2020,27,64,95,17,52,1532
Northwest Antelope Valley,2020,171,76,93,3,52,1375
Echo Park,2020,645,25,87,12,47,1428
Lynwood,2020,91,47,95,25,61,1222
Unincorporated Santa Susana Mountains,2020,74,67,86,5,58,2093
Shadow Hills,2020,54,75,92,4,50,1995
La Habra Heights,2020,0,85,93,5,36,1642
Covina,2020,85,57,90,9,52,1502
Northwest Palmdale,2020,12,88,93,2,45,1259
Sawtelle,2020,414,26,83,6,46,1969
Rancho Park,2020,55,47,86,6,51,1957
East Los Angeles,2020,526,34,96,19,54,1133
Beverlywood,2020,7,63,92,2,49,2185
Bellflower,2020,196,39,92,14,60,1366
Azusa,2020,253,56,93,14,52,1515
Del Rey,2020,93,40,87,8,54,1951
Mid-Wilshire,2020,109,22,79,5,55,1999
North Whittier,2020,36,84,93,3,44,1602
Beverly Crest,2020,1,88,89,0,23,1835
Cerritos,2020,46,77,92,5,54,2308
West Hills,2020,56,85,92,2,51,2615
Vincent,2020,56,74,94,11,56,1662
Sun Village,2020,13,66,90,13,68,1252
Playa del Rey,2020,76,51,80,2,43,2310
Valinda,2020,17,73,93,12,36,1599
Tujunga,2020,62,55,94,7,64,1510
Exposition Park,2020,194,28,92,16,61,1179
Eagle Rock,2020,56,53,90,8,46,1529
Harbor City,2020,270,47,91,13,47,1278
Southeast Antelope Valley,2020,272,78,92,4,51,1475
Reseda,2020,250,48,92,16,59,1501
Willowbrook,2020,472,51,92,17,65,1259
Highland Park,2020,201,41,91,16,50,1294
Temple City,2020,25,59,93,8,57,1602
Westlake Village,2020,1,85,90,1,45,2883
Pico-Robertson,2020,36,25,88,4,49,1876
Monrovia,2020,78,48,91,5,48,1566
Broadway-Manchester,2020,457,31,92,21,64,1208
Sunland,2020,42,69,95,6,51,1594
Agua Dulce,2020,8,95,91,3,39,2645
Malibu,2020,116,82,89,3,33,2228
Topanga,2020,31,76,90,0,45,3009
Northeast Antelope Valley,2020,656,68,92,6,49,1156
Arleta,2020,74,75,95,20,57,1714
Van Nuys,2020,657,24,89,20,66,1330
Mar Vista,2020,244,37,86,7,47,1708
Valley Glen,2020,214,34,92,12,62,1379
Arcadia,2020,109,60,90,4,48,1720
Windsor Square,2020,19,37,92,7,53,1598
West Puente Valley,2020,47,74,94,15,44,1511
Central-Alameda,2020,474,28,93,31,62,1137
Arlington Heights,2020,117,19,92,18,58,1191
Harvard Heights,2020,125,18,93,23,58,1163
Harvard Park,2020,174,51,95,11,67,1214
East Hollywood,2020,757,9,91,25,58,1220
Lennox,2020,129,29,90,31,56,1182
Larchmont,2020,30,26,93,12,54,1518
Tarzana,2020,82,56,89,7,64,1692
Rolling Hills,2020,0,88,88,1,37,2414
Mid-City,2020,307,32,91,11,56,1483
Westchester,2020,323,52,86,2,48,2154
Manchester Square,2020,461,55,91,8,68,1199
Rowland Heights,2020,15,64,90,13,54,1693
Ridge Route,2020,31,72,93,3,51,1449
South San Jose Hills,2020,10,70,94,21,50,1619
Vermont-Slauson,2020,228,34,95,19,64,1117
Athens,2020,100,62,95,11,64,1214
Mount Washington,2020,56,62,91,9,46,1523
West Compton,2020,157,73,95,10,56,1000
Los Feliz,2020,102,23,86,5,49,1606
Chinatown,2020,310,6,85,17,56,1439
Century City,2020,2,66,87,2,48,2478
Florence-Firestone,2020,905,36,94,33,59,1152
University Park,2020,112,10,70,20,60,1287
Hollywood Hills West,2020,5,63,88,2,52,2222
Unincorporated Santa Monica Mountains,2020,96,75,88,1,43,2543
West Los Angeles,2020,80,45,85,3,46,2248
Hancock Park,2020,25,47,87,1,50,2252
Canoga Park,2020,172,29,88,19,59,1553
Chesterfield Square,2020,227,51,96,12,69,1214
Hidden Hills,2020,0,71,75,4,31,2426
Norwalk,2020,197,64,94,17,58,1588
North El Monte,2020,18,60,86,9,46,1806
Monterey Park,2020,58,51,91,10,55,1383
Hollywood,2020,1441,9,84,12,56,1480
Fairfax,2020,82,29,86,2,51,2168
Glassell Park,2020,72,44,91,14,57,1338
Watts,2020,290,33,94,22,65,951
La Verne,2020,10,73,90,3,58,1527
Rancho Palos Verdes,2020,0,77,90,3,53,2643
Green Meadows,2020,343,41,94,20,66,1326
Del Aire,2020,7,55,86,8,54,1613
Vermont Knolls,2020,720,27,94,12,65,1095
Castaic,2020,0,92,94,1,45,2599
Westwood,2020,197,32,64,9,58,2290
Venice,2020,1636,37,83,3,46,2206
South Diamond Bar,2020,1,77,91,2,35,2294
Universal City,2020,2,66,90,3,56,1818
Pacific Palisades,2020,57,78,87,2,38,2432
Bel-Air,2020,5,83,92,1,31,2365
East Pasadena,2020,,68,92,6,43,1743
Cudahy,2020,23,14,95,25,59,1298
Palos Verdes Estates,2020,0,86,90,1,46,2815
Ladera Heights,2020,39,68,91,2,51,2152
Walnut Park,2020,23,55,95,24,57,1155
La Crescenta-Montrose,2020,,70,94,5,55,1937
Gardena,2020,97,48,92,10,56,1318
Duarte,2020,25,63,95,7,61,1566
La Mirada,2020,40,77,93,9,56,1565
Maywood,2020,47,26,95,31,61,1097
Alondra Park,2020,12,54,89,16,51,1311
Beverly Grove,2020,145,28,81,1,52,2158
Vermont Vista,2020,660,37,94,20,67,1139
Lawndale,2020,36,34,91,15,57,1459
Hyde Park,2020,278,48,91,8,67,1148
Lomita,2020,24,48,90,4,49,1396
South Pasadena,2020,10,47,89,3,36,1796
Westmont,2020,61,29,92,17,67,1186
San Pasqual,2020,,55,85,3,63,1482
West Hollywood,2020,113,19,84,1,46,1673
Artesia,2020,25,48,94,11,61,1660
Manhattan Beach,2020,14,70,89,1,35,2620
West Carson,2020,169,72,92,6,46,1381
Hermosa Beach,2020,28,47,80,2,28,2173
Carthay,2020,9,32,90,5,55,1820
Beverly Hills,2020,19,41,89,3,49,2269
El Segundo,2020,46,44,86,3,41,1954
View Park-Windsor Hills,2020,10,75,93,1,53,1415
Sierra Madre,2020,,62,91,2,44,1591
Gramercy Park,2020,198,59,93,7,60,1295
,,,,,,,
